iter	Passed	Remaining
0	190	94985
1	286	71258
2	365	60604
3	440	54632
4	520	51490
5	590	48622
6	660	46550
7	735	45248
8	812	44306
9	863	42330
10	921	40946
11	972	39542
12	1031	38640
13	1123	39000
14	1259	40709
15	1362	41211
16	1471	41796
17	1590	42593
18	1694	42903
19	1809	43437
20	1906	43487
21	1994	43335
22	2074	43022
23	2149	42630
24	2228	42342
25	2302	41973
26	2365	41448
27	2443	41196
28	2525	41014
29	2607	40854
30	2681	40569
31	2750	40219
32	2835	40127
33	2912	39912
34	2997	39826
35	3079	39690
36	3160	39552
37	3260	39640
38	3379	39943
39	3500	40259
40	3612	40446
41	3755	40950
42	3863	41064
43	3955	40992
44	4025	40703
45	4105	40523
46	4177	40259
47	4256	40086
48	4331	39864
49	4408	39676
50	4491	39545
51	4563	39316
52	4637	39112
53	4709	38893
54	4794	38789
55	4868	38600
56	4944	38429
57	5016	38228
58	5089	38039
59	5170	37918
60	5244	37745
61	5312	37528
62	5416	37570
63	5525	37644
64	5671	37958
65	5796	38118
66	5915	38227
67	6036	38351
68	6134	38321
69	6212	38164
70	6281	37953
71	6359	37801
72	6439	37668
73	6516	37512
74	6575	37260
75	6653	37117
76	6728	36964
77	6804	36814
78	6872	36623
79	6950	36490
80	7029	36360
81	7109	36241
82	7182	36085
83	7258	35944
84	7325	35767
85	7400	35626
86	7466	35446
87	7570	35442
88	7679	35462
89	7770	35400
90	7876	35402
91	7995	35459
92	8088	35396
93	8184	35348
94	8289	35339
95	8355	35162
96	8426	35008
97	8502	34879
98	8577	34744
99	8640	34562
100	8708	34401
101	8774	34236
102	8844	34091
103	8926	33989
104	9003	33868
105	9080	33752
106	9165	33664
107	9238	33531
108	9317	33423
109	9393	33302
110	9468	33181
111	9548	33079
112	9619	32944
113	9739	32978
114	9851	32982
115	9968	32998
116	10060	32933
117	10180	32958
118	10278	32908
119	10386	32889
120	10467	32787
121	10537	32649
122	10618	32546
123	10702	32451
124	10788	32364
125	10877	32287
126	10960	32191
127	11035	32072
128	11116	31971
129	11195	31864
130	11269	31742
131	11345	31630
132	11425	31527
133	11512	31444
